timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-01-01 00:00:00,28923.63000000,29470.00000000,28690.17000000,29278.40000000,11560.45655300,1609473599999,337730077.55709406,262441,6354.75011100,185675832.60984152,0
2021-01-01 04:00:00,29278.41000000,29395.00000000,28806.54000000,29092.83000000,7308.91027400,1609487999999,212959808.12097630,196772,3437.05324300,100170352.33508395,0
2021-01-01 08:00:00,29092.84000000,29402.57000000,28872.24000000,29313.49000000,8283.70531900,1609502399999,241843536.24794328,195352,4554.09488300,132989690.49731690,0
2021-01-01 12:00:00,29313.49000000,29600.00000000,29030.14000000,29188.67000000,11794.94951500,1609516799999,346262815.43590468,269572,5950.09971500,174770117.20762046,0
2021-01-01 16:00:00,29188.67000000,29360.00000000,28624.57000000,29029.04000000,9850.96534500,1609531199999,286439126.23657557,237490,4347.01757500,126457429.93102377,0
2021-01-01 20:00:00,29029.04000000,29338.89000000,28880.37000000,29331.69000000,5383.93800500,1609545599999,157291625.56337876,153283,2812.78619800,82184321.96421749,0
2021-01-02 00:00:00,29331.70000000,29469.00000000,28946.53000000,29351.95000000,7393.02852600,1609559999999,216316507.26705596,166125,3690.67293800,108013435.66927001,0
2021-01-02 04:00:00,29351.95000000,29820.50000000,29220.00000000,29750.00000000,9865.64284500,1609574399999,291957821.46943515,202762,6322.78309400,187156091.77645306,0
2021-01-02 08:00:00,29751.47000000,29899.00000000,29473.91000000,29755.00000000,9226.80460800,1609588799999,274369857.02486288,197876,4393.18936200,130664922.08897401,0
2021-01-02 12:00:00,29754.99000000,31800.00000000,29741.39000000,31691.29000000,34028.97339900,1609603199999,1050932902.11506585,568973,18735.44350100,577688213.65880750,0
2021-01-02 16:00:00,31691.09000000,33300.00000000,31616.42000000,33027.20000000,34849.61779800,1609617599999,1137521994.56570093,558167,17910.37631300,584851099.49841240,0
2021-01-02 20:00:00,33027.20000000,33061.37000000,30300.00000000,32178.33000000,34629.80618600,1609631999999,1102743081.22942040,552019,16393.84003800,521960961.19522889,0
2021-01-03 00:00:00,32176.45000000,32884.09000000,31962.99000000,32573.87000000,10890.30290700,1609646399999,354166675.80315743,228605,5439.98807100,176900512.45244797,0
2021-01-03 04:00:00,32576.11000000,34778.11000000,32450.00000000,34452.34000000,26286.12629600,1609660799999,890390017.73739904,468152,13754.82248200,465470008.52080660,0
2021-01-03 08:00:00,34451.78000000,34670.41000000,33403.00000000,34413.53000000,22651.53286700,1609675199999,772577341.62014329,438165,10987.16683700,374834425.48906139,0
2021-01-03 12:00:00,34413.53000000,34600.00000000,32727.00000000,33506.62000000,23240.07717700,1609689599999,785083115.48791427,430705,11010.24826800,372146448.65953417,0
2021-01-03 16:00:00,33505.15000000,33822.69000000,32267.00000000,32772.21000000,22427.18764300,1609703999999,739419782.98141887,432712,10953.33222000,361219054.18250268,0
2021-01-03 20:00:00,32775.10000000,33861.92000000,32600.00000000,33000.05000000,15462.33986000,1609718399999,515961491.86198359,371359,7604.77499300,253857984.62749341,0
2021-01-04 00:00:00,33000.05000000,33588.00000000,32400.25000000,33505.16000000,14536.79062000,1609732799999,480464953.86164075,327255,7073.92401300,233831013.31267704,0
2021-01-04 04:00:00,33505.15000000,33600.00000000,31505.00000000,32068.84000000,21398.87190900,1609747199999,701401904.41926854,414734,11016.52949800,361097511.55793597,0
2021-01-04 08:00:00,32068.84000000,32567.88000000,28130.00000000,30743.06000000,46591.47102500,1609761599999,1417817418.09905081,773993,21800.71259900,663484828.91132001,0
2021-01-04 12:00:00,30742.99000000,32185.67000000,30454.25000000,31745.72000000,26592.53945300,1609775999999,834727120.38313550,470560,12617.51582300,396060237.78519070,0
2021-01-04 16:00:00,31745.71000000,31920.00000000,30626.36000000,31665.51000000,19886.66060300,1609790399999,620725769.17654719,375567,10451.49495000,326221629.66383486,0
2021-01-04 20:00:00,31665.52000000,32031.01000000,30856.08000000,31988.71000000,11893.55208000,1609804799999,373873183.75570208,280299,6128.29234700,192740187.78602933,0
2021-01-05 00:00:00,31989.75000000,32853.38000000,31130.86000000,31200.00000000,20813.07860000,1609819199999,672370621.72929215,388923,11188.61502900,361654009.20299395,0
2021-01-05 04:00:00,31190.04000000,31538.45000000,29900.00000000,30817.77000000,23019.05717800,1609833599999,709420501.56605715,516921,10754.62889200,331360927.20283849,0
2021-01-05 08:00:00,30817.78000000,31821.94000000,30817.78000000,31776.66000000,13255.60110000,1609847999999,416370776.82705810,334534,7003.03891100,220019453.65984267,0
2021-01-05 12:00:00,31776.66000000,32375.07000000,31111.78000000,32099.98000000,16243.27636900,1609862399999,516942035.36311311,394782,8773.50481200,279292102.67938387,0
2021-01-05 16:00:00,32099.97000000,34187.09000000,31763.23000000,33697.75000000,23832.16575800,1609876799999,788306836.91607332,506591,12682.24870900,419781729.00354777,0
2021-01-05 20:00:00,33693.80000000,34360.00000000,33318.00000000,33949.53000000,18886.81803300,1609891199999,640206372.24532146,385100,9289.71840200,315086871.89294290,0
2021-01-06 00:00:00,33949.53000000,34170.00000000,33288.00000000,34117.59000000,15779.35387900,1609905599999,533400577.33301879,302027,7290.07233900,246581498.83134189,0
2021-01-06 04:00:00,34116.76000000,35766.58000000,34109.83000000,34676.40000000,26152.96499000,1609919999999,914192106.72307633,490567,14729.63892400,514598899.31236988,0
2021-01-06 08:00:00,34666.80000000,35200.00000000,33357.90000000,34918.53000000,21063.05056700,1609934399999,725343211.04521896,438644,10020.72368700,345299317.38631120,0
2021-01-06 12:00:00,34918.54000000,35088.00000000,34052.42000000,34566.19000000,18644.31193900,1609948799999,643936817.90300519,416338,8913.58174800,307940703.78635538,0
2021-01-06 16:00:00,34566.18000000,35695.00000000,34372.92000000,34816.72000000,18876.49598000,1609963199999,661674596.51224332,405455,9048.37971000,317388606.45123413,0
2021-01-06 20:00:00,34818.95000000,36939.21000000,34280.00000000,36769.36000000,26623.02395500,1609977599999,953406939.00305180,538752,13050.51824400,467823444.45393643,0
2021-01-07 00:00:00,36769.36000000,37699.00000000,36422.71000000,37454.48000000,19662.24662600,1609991999999,727630384.29951820,397381,9816.25130100,363430410.36943706,0
2021-01-07 04:00:00,37452.62000000,37700.80000000,36710.00000000,36859.85000000,16315.18215800,1610006399999,607327166.36245907,375767,7529.63989000,280434415.73343711,0
2021-01-07 08:00:00,36863.04000000,37913.72000000,36300.00000000,37822.09000000,17213.96891800,1610020799999,639522639.54541511,346303,8380.02463500,311669126.25395314,0
2021-01-07 12:00:00,37825.64000000,38970.42000000,37518.00000000,38970.42000000,22645.70147700,1610035199999,866390866.52908760,472157,10859.53285900,415595393.93775813,0
